	Age	Sex	Job	Housing	Saving accounts	Checking account	Credit amount	Duration	Purpose	Risk
0	67	1	2	2	0	1	1169	6	5	1
1	22	0	2	2	1	2	5951	48	5	0
2	49	1	1	2	1	0	2096	12	3	1
3	45	1	2	0	1	1	7882	42	4	1
4	53	1	2	0	1	1	4870	24	1	0
5	35	1	1	0	0	0	9055	36	3	1
6	53	1	2	2	3	0	2835	24	4	1
7	35	1	3	1	1	2	6948	36	1	1
8	61	1	1	2	4	0	3059	12	5	1
9	28	1	3	2	1	2	5234	30	1	0
10	25	0	2	1	1	2	1295	12	1	0
11	24	0	2	1	1	1	4308	48	0	0
12	22	0	2	2	1	2	1567	12	5	1
13	60	1	1	2	1	1	1199	24	1	0
14	28	0	2	1	1	1	1403	15	1	1
15	32	0	1	2	2	1	1282	24	5	0
16	53	1	2	2	0	0	2424	24	5	1
17	25	1	2	2	0	1	8072	30	0	1
18	44	0	3	0	1	2	12579	24	1	0
19	31	1	2	2	3	0	3430	24	5	1
20	48	1	2	2	1	0	2134	9	1	1
21	44	1	2	1	3	1	2647	6	5	1
22	48	1	1	1	1	1	2241	10	1	1
23	44	1	2	2	2	2	1804	12	1	1
24	26	1	2	2	0	0	2069	10	4	1
25	36	1	1	2	1	1	1374	6	4	1
26	39	1	1	2	1	0	426	6	5	1
27	42	0	2	1	4	4	409	12	5	1
28	34	1	2	2	1	2	2415	7	5	1
29	63	1	2	2	1	1	6836	60	0	0
30	36	1	2	2	4	2	1913	18	0	1
31	27	1	2	2	1	1	4020	24	4	1
32	30	1	2	2	2	2	5866	18	1	1
33	57	1	1	1	0	0	1264	12	0	1
34	33	0	3	2	1	4	1474	12	4	1
35	25	1	1	2	1	2	4746	45	5	0
36	31	1	2	0	1	0	6110	48	3	1
37	37	1	2	2	1	4	2100	18	5	0
38	37	1	2	2	1	4	1225	10	2	1
39	24	1	2	2	1	2	458	9	5	1
40	30	1	3	2	3	0	2333	30	5	1
41	26	1	2	2	3	2	1158	12	5	1
42	44	1	1	2	1	2	6204	18	6	1
43	24	1	2	1	2	1	6187	30	1	1
44	58	0	1	0	1	1	6143	48	1	0
45	35	0	3	2	1	0	1393	11	1	1
46	39	1	2	2	3	0	2299	36	5	1
47	23	0	0	1	3	1	1352	6	1	1
48	39	1	1	2	1	0	7228	11	1	1
49	28	0	2	2	2	0	2073	12	5	1
50	29	1	1	2	0	2	2333	24	4	1
51	30	1	3	2	1	2	5965	27	1	1
52	25	1	2	2	1	0	1262	12	5	1
53	31	1	2	2	0	0	3378	18	1	1
54	57	1	2	0	1	2	2225	36	1	0
55	26	1	1	2	0	0	783	6	1	1
56	52	1	3	2	0	2	6468	12	5	0
57	31	0	2	2	1	0	9566	36	5	1
58	23	0	3	2	1	4	1961	18	1	1
59	23	0	1	1	1	1	6229	36	4	0
60	27	1	2	2	1	2	1391	9	0	1
61	50	1	2	2	0	2	1537	15	5	1
62	61	1	3	0	1	2	1953	36	0	0
63	25	1	2	2	1	2	14421	48	0	0
64	26	0	2	2	1	0	3181	24	5	1
65	48	1	2	2	0	0	5190	27	6	1
66	29	0	2	2	1	0	2171	12	5	1
67	22	1	2	2	4	2	1007	12	1	1
68	37	1	2	0	1	0	1819	36	3	0
69	25	0	2	2	0	0	2394	36	5	1
70	30	0	2	2	1	0	8133	36	1	1
71	46	1	1	1	0	0	730	7	5	1
72	51	1	3	0	1	1	1164	8	7	1
73	41	0	1	2	1	2	5954	42	0	1
74	40	1	3	2	0	1	1977	36	3	0
75	66	1	3	0	1	1	1526	12	1	1
76	34	1	2	2	1	1	3965	42	5	0
77	51	1	2	2	1	2	4771	11	5	1
78	39	1	1	2	0	0	9436	54	1	1
79	22	1	2	2	1	2	3832	30	4	1
80	44	0	2	2	0	0	5943	24	5	0
81	47	1	2	2	3	0	1213	15	5	1
82	24	0	1	1	2	0	1568	18	0	1
83	58	0	1	2	1	1	1755	24	7	1
84	52	1	1	2	1	1	2315	10	5	1
85	29	0	3	2	1	0	1412	12	0	1
86	27	0	2	2	1	2	1295	18	4	1
87	47	1	2	0	2	2	12612	36	3	0
88	30	1	3	2	2	1	2249	18	1	1
89	28	1	2	2	1	1	1108	12	6	0
90	56	1	2	2	1	0	618	12	5	1
91	54	1	2	2	1	1	1409	12	1	1
92	33	0	1	2	0	0	797	12	5	0
93	20	1	2	1	0	4	3617	24	4	1
94	54	1	2	2	4	2	1318	12	1	1
95	58	1	2	1	1	2	15945	54	0	0
96	61	0	2	2	0	0	2012	12	3	1
97	34	1	2	2	2	2	2622	18	0	1
98	36	1	2	2	1	2	2337	36	5	1
99	36	1	3	1	0	2	7057	20	1	1
100	41	1	1	1	2	0	1469	24	1	1
101	24	1	2	1	1	2	2323	36	5	1
102	24	0	2	2	1	0	932	6	5	1
103	35	1	2	1	1	2	1919	9	4	1
104	26	1	2	1	0	0	2445	12	1	1
105	39	1	3	2	1	2	11938	24	7	0
106	39	1	3	2	1	0	6458	18	1	0
107	32	1	2	2	1	2	6078	12	1	1
108	30	0	2	2	0	1	7721	24	4	1
109	35	1	2	2	3	2	1410	14	0	1
110	31	1	2	2	2	2	1449	6	0	1
111	23	0	2	1	1	4	392	15	3	1
112	28	1	1	1	1	2	6260	18	1	1
113	25	0	2	2	1	0	7855	36	1	0
114	35	1	2	2	3	1	1680	12	5	1
115	47	1	2	2	0	0	3578	48	5	1
116	30	0	3	2	0	1	7174	42	5	0
117	27	0	2	1	0	1	2132	10	4	1
118	23	0	2	2	3	1	4281	33	4	0
119	36	1	3	2	3	2	2366	12	1	1
120	25	0	2	2	1	1	1835	21	5	0
121	41	0	3	1	1	0	3868	24	1	1
122	24	1	1	1	1	0	1768	12	4	1
123	63	1	2	0	1	4	781	10	1	1
124	27	0	2	1	0	2	1924	18	4	0
125	30	1	2	2	1	1	2121	12	1	1
126	40	1	1	2	1	1	701	12	5	1
127	30	1	2	2	1	2	639	12	6	0
128	34	1	3	2	1	2	1860	12	1	1
129	29	0	2	2	1	1	3499	12	1	0
130	24	0	2	2	0	2	8487	48	1	1
131	29	1	2	2	1	1	6887	36	3	0
132	27	1	1	2	1	0	2708	15	4	1
133	47	1	2	0	1	0	1984	18	4	1
134	21	0	2	2	2	0	10144	60	5	1
135	38	0	2	2	0	0	1240	12	5	1
136	27	1	2	2	4	0	8613	27	1	1
137	66	1	1	2	3	2	766	12	5	0
138	35	1	2	2	0	2	2728	15	5	1
139	44	0	1	1	1	4	1881	12	5	1
140	27	1	0	2	4	4	709	6	1	1
141	30	0	3	2	1	2	4795	36	5	1
142	27	1	3	2	1	1	3416	27	5	1
143	22	1	2	2	1	1	2462	18	4	0
144	23	0	2	2	1	0	2288	21	4	1
145	30	1	2	2	2	2	3566	48	0	1
146	39	0	2	2	1	1	860	6	1	1
147	51	0	2	2	2	0	682	12	1	1
148	28	1	2	2	1	1	5371	36	4	1
149	46	1	2	2	4	0	1582	18	5	1
150	42	1	2	0	2	0	1346	6	5	1
151	38	1	2	2	1	0	1924	10	5	1
152	24	1	2	2	1	4	5848	36	5	1
153	29	0	2	1	4	2	7758	24	1	1
154	36	1	3	1	2	2	6967	24	0	1
155	20	0	2	1	1	1	1282	12	4	0
156	48	1	2	2	2	1	1288	9	6	1
157	45	1	1	2	1	1	339	12	3	1
158	38	1	2	2	2	2	3512	24	1	1
159	34	1	1	2	0	0	1898	6	5	1
160	36	1	2	2	2	0	2872	24	5	1
161	30	0	2	2	1	0	1055	18	1	1
162	36	1	2	2	3	0	1262	15	2	1
163	70	1	3	0	1	2	7308	10	1	1
164	36	1	2	2	3	0	909	36	1	1
165	32	1	2	2	3	0	2978	6	4	1
166	33	0	2	2	1	1	1131	18	4	0
167	20	0	2	2	4	2	1577	11	4	1
168	25	0	2	1	1	0	3972	24	4	1
169	31	1	2	2	1	2	1935	24	0	0
170	33	1	2	1	1	1	950	15	1	0
171	26	0	2	2	1	0	763	12	4	1
172	34	0	3	2	1	2	2064	24	4	0
173	33	1	2	2	1	2	1414	8	5	1
174	26	1	2	2	1	1	3414	21	3	0
175	53	0	3	2	0	0	7485	30	1	0
176	42	1	2	2	1	1	2577	12	4	1
177	52	1	2	2	3	1	338	6	5	1
178	31	1	3	1	1	0	1963	12	5	1
179	65	1	2	2	1	1	571	21	1	1
180	28	1	2	2	1	0	9572	36	0	0
181	30	1	3	2	1	2	4455	36	0	0
182	40	1	1	2	0	1	1647	21	1	0
183	50	1	2	2	4	0	3777	24	4	1
184	36	1	2	2	1	2	884	18	1	0
185	31	1	2	2	1	0	1360	15	5	1
186	74	0	3	0	1	2	5129	9	1	0
187	68	1	0	0	1	2	1175	16	1	1
188	20	1	2	2	2	1	674	12	5	0
189	33	0	2	2	1	2	3244	18	4	1
190	54	1	3	2	4	0	4591	24	0	0
191	34	1	1	0	2	2	3844	48	0	0
192	36	1	2	2	1	2	3915	27	0	0
193	29	1	2	1	1	0	2108	6	5	1
194	21	1	2	1	2	2	3031	45	5	0
195	34	0	3	2	1	2	1501	9	3	0
196	28	0	2	2	1	0	1382	6	5	1
197	27	0	2	1	2	2	951	12	4	0
198	36	1	2	0	0	2	2760	24	1	1
199	40	1	3	2	1	2	4297	18	4	0
200	52	1	2	2	3	0	936	9	3	1
201	27	1	1	2	1	1	1168	12	1	1
202	26	1	2	2	1	0	5117	27	0	1
203	21	1	2	1	1	1	902	12	3	0
204	38	1	1	2	1	0	1495	12	1	1
205	38	1	3	0	1	1	10623	30	1	1
206	43	1	2	2	1	0	1935	12	4	1
207	26	1	2	2	1	2	1424	12	2	1
208	21	1	1	2	1	1	6568	24	0	1
209	55	1	2	2	4	0	1413	12	1	1
210	33	1	2	2	0	0	3074	9	5	1
211	45	0	1	2	0	0	3835	36	5	1
212	50	1	2	2	1	1	5293	27	0	0
213	66	1	3	2	1	4	1908	30	0	0
214	51	1	2	2	0	0	3342	36	5	1
215	39	0	1	2	0	2	932	6	3	1
216	31	1	2	2	1	1	3104	18	0	1
217	23	1	2	2	1	4	3913	36	5	1
218	24	1	1	1	1	1	3021	24	4	1
219	64	0	2	2	1	0	1364	10	1	1
220	26	1	1	2	1	2	625	12	5	1
221	23	0	2	1	0	1	1200	12	3	1
222	30	1	2	2	1	0	707	12	5	1
223	32	1	2	2	0	0	2978	24	0	1
224	30	1	2	2	1	0	4657	15	1	1
225	27	1	2	2	1	0	2613	36	6	1
226	27	1	2	2	4	2	10961	48	5	0
227	53	1	3	0	1	1	7865	12	4	0
228	22	1	2	2	1	0	1478	9	5	0
229	22	1	2	0	1	1	3149	24	4	1
230	26	1	2	2	1	4	4210	36	5	0
231	51	1	1	0	3	0	2507	9	1	1
232	35	1	2	2	2	0	2141	12	5	1
233	25	1	1	2	1	2	866	18	5	1
234	42	1	1	2	1	0	1544	4	5	1
235	30	1	3	2	1	1	1823	24	5	0
236	23	1	0	2	0	2	14555	6	1	0
237	61	1	1	1	2	2	2767	21	0	0
238	35	0	2	2	1	0	1291	12	5	1
239	39	1	2	2	1	1	2522	30	5	1
240	29	0	2	2	0	1	915	24	1	0
241	51	1	2	2	1	0	1595	6	5	1
242	24	1	2	0	1	1	4605	48	1	0
243	27	0	2	2	1	0	1185	12	0	1
244	35	0	1	2	3	0	3447	12	3	1
245	25	1	2	2	1	0	1258	24	0	1
246	52	1	2	2	1	0	717	12	5	1
247	35	1	2	1	2	0	1204	6	1	1
248	26	1	2	2	1	4	1925	24	4	1
249	22	0	2	1	1	0	433	18	5	0
250	39	0	1	2	4	1	666	6	1	1
251	46	0	1	2	1	4	2251	12	4	1
252	24	0	2	2	1	2	2150	30	1	0
253	35	1	2	2	2	0	4151	24	4	1
254	24	1	2	2	0	2	2030	9	4	1
255	27	1	1	2	0	2	7418	60	5	1
256	35	1	1	2	1	0	2684	24	5	1
257	29	1	2	0	1	1	2149	12	5	0
258	23	0	2	2	2	0	3812	15	1	1
259	57	0	1	2	2	0	1154	11	5	1
260	27	1	2	2	1	1	1657	12	4	1
261	55	0	2	2	1	1	1603	24	5	1
262	36	1	3	0	1	1	5302	18	1	1
263	57	0	1	0	1	0	2748	12	3	1
264	32	1	1	2	1	0	1231	10	1	1
265	37	1	2	2	1	2	802	15	5	0
266	36	1	2	2	0	0	6304	36	0	1
267	38	0	2	2	1	0	1533	24	5	1
268	45	1	3	2	1	1	8978	14	1	0
269	25	1	2	2	0	0	999	24	5	1
270	32	1	2	2	0	0	2662	18	1	1
271	37	0	2	1	3	0	1402	12	4	1
272	36	1	3	0	0	2	12169	48	1	1
273	28	1	2	2	1	2	3060	48	5	0
274	34	1	1	2	1	1	11998	30	6	0
275	32	1	2	2	1	0	2697	9	5	1
276	26	0	2	2	1	0	2404	18	5	1
277	49	1	1	2	0	1	1262	12	4	1
278	32	0	2	2	1	0	4611	6	4	0
279	29	1	3	1	2	0	1901	24	5	1
280	23	1	2	1	4	0	3368	15	1	1
281	50	1	2	2	1	0	1574	12	4	1
282	49	1	1	2	0	4	1445	18	5	1
283	63	1	2	2	0	0	1520	15	4	1
284	37	1	2	2	2	2	3878	24	1	1
285	35	0	1	2	1	1	10722	47	1	1
286	26	1	2	2	1	1	4788	48	1	1
287	31	1	3	0	2	2	7582	48	7	1
288	49	0	2	2	1	2	1092	12	5	1
289	48	1	2	2	1	1	1024	24	5	0
290	26	1	2	2	1	0	1076	12	0	1
291	28	1	3	1	1	2	9398	36	1	0
292	44	0	3	0	1	1	6419	24	1	1
293	56	1	2	0	1	4	4796	42	1	1
294	46	1	3	2	0	0	7629	48	0	1
295	26	0	2	2	1	2	9960	48	4	0
296	20	0	2	1	0	0	4675	12	1	1
297	45	1	1	2	0	0	1287	10	1	1
298	43	1	2	2	1	0	2515	18	4	1
299	32	1	2	2	4	2	2745	21	4	1
300	54	0	0	2	1	0	672	6	1	1
301	42	0	2	2	1	2	3804	36	5	0
302	37	1	1	2	0	4	1344	24	1	0
303	49	1	2	2	1	1	1038	10	1	1
304	44	1	2	0	3	0	10127	48	1	0
305	33	1	2	2	4	0	1543	6	4	1
306	24	0	1	1	0	0	4811	30	1	1
307	33	1	1	2	2	1	727	12	5	0
308	24	0	2	2	1	2	1237	8	4	0
309	22	1	1	1	1	2	276	9	1	1
310	40	1	0	0	0	2	5381	48	7	1
311	25	1	2	2	2	0	5511	24	4	1
312	26	0	2	2	1	4	3749	24	4	1
313	25	1	1	2	1	2	685	12	1	0
314	29	1	1	2	0	4	1494	4	1	1
315	31	1	2	2	1	1	2746	36	4	0
316	38	1	1	2	1	1	708	12	4	1
317	48	0	1	2	0	2	4351	24	4	1
318	32	1	2	2	1	0	701	12	3	1
319	27	0	1	2	1	1	3643	15	4	1
320	28	1	3	2	1	2	4249	30	1	0
321	32	1	2	2	1	1	1938	24	5	0
322	34	1	3	0	1	1	2910	24	1	1
323	28	1	2	2	4	1	2659	18	4	1
324	36	0	2	2	1	0	1028	18	1	1
325	39	1	1	2	1	1	3398	8	1	1
326	49	1	2	1	0	0	5801	12	4	1
327	34	0	2	2	4	0	1525	24	1	1
328	31	1	2	2	1	4	4473	36	5	1
329	28	1	2	2	1	2	1068	6	5	1
330	75	1	3	0	1	1	6615	24	1	1
331	30	0	2	2	2	0	1864	18	3	0
332	24	0	3	2	2	2	7408	60	1	0
333	24	0	1	1	2	0	11590	48	1	0
334	23	1	2	1	1	1	4110	24	4	0
335	44	1	3	1	1	1	3384	6	4	0
336	23	0	1	2	1	2	2101	13	5	1
337	24	0	2	1	0	1	1275	15	2	0
338	28	1	2	2	1	1	4169	24	4	1
339	31	1	1	2	1	2	1521	10	4	1
340	24	0	2	0	1	2	5743	24	3	1
341	26	0	1	1	1	1	3599	21	4	1
342	25	1	2	1	3	2	3213	18	5	1
343	33	1	3	2	1	2	4439	18	0	1
344	37	1	1	2	1	4	3949	10	1	1
345	43	0	1	2	1	0	1459	15	5	1
346	23	1	2	2	1	2	882	13	5	1
347	23	0	0	1	3	2	3758	24	5	1
348	34	1	1	2	2	0	1743	6	0	1
349	32	1	2	0	4	2	1136	9	3	0
350	23	0	2	1	1	0	1236	9	2	1
351	29	0	2	2	1	2	959	9	4	0
352	38	1	3	2	0	0	3229	18	1	1
353	28	1	2	1	1	1	6199	12	5	0
354	46	1	2	0	3	0	727	10	3	1
355	23	1	1	2	1	2	1246	24	1	0
356	49	1	2	2	0	0	2331	12	5	1
357	26	1	3	2	1	0	4463	36	5	0
358	28	1	2	2	1	0	776	12	5	1
359	23	0	2	1	1	1	2406	30	4	0
360	61	1	2	0	0	2	1239	18	3	1
361	37	1	3	2	0	4	3399	12	5	1
362	36	0	2	2	1	4	2247	12	1	1
363	21	1	2	1	1	0	1766	6	4	1
364	25	1	0	2	1	1	2473	18	4	0
365	36	1	2	2	1	0	1542	12	0	1
366	27	1	2	2	1	0	3850	18	1	1
367	22	0	2	1	1	1	3650	18	4	1
368	42	1	2	2	1	1	3446	36	4	0
369	40	0	2	1	1	2	3001	18	4	1
370	36	1	2	2	0	0	3079	36	1	1
371	33	1	2	2	1	0	6070	18	5	1
372	23	0	2	1	1	0	2146	10	4	1
373	63	1	3	0	0	0	13756	60	1	1
374	60	0	3	0	2	2	14782	60	7	0
375	37	0	2	1	1	1	7685	48	0	0
376	34	1	2	2	1	0	2320	18	5	1
377	36	1	2	0	0	0	846	7	5	1
378	57	1	3	0	1	2	14318	36	1	0
379	52	0	1	2	2	0	362	6	1	1
380	39	1	2	2	0	1	2212	20	4	1
381	38	0	3	0	1	2	12976	18	1	0
382	25	0	2	1	0	0	1283	22	1	1
383	26	1	2	2	1	4	1330	12	1	1
384	26	1	1	2	2	0	4272	30	0	1
385	25	0	2	2	1	0	2238	18	5	1
386	21	0	2	1	0	0	1126	18	5	1
387	40	1	3	2	1	2	7374	18	4	1
388	27	1	2	2	3	2	2326	15	0	1
389	27	0	2	2	1	0	1449	9	0	1
390	30	1	3	2	1	0	1820	18	1	1
391	19	0	1	1	4	2	983	12	4	1
392	39	1	3	0	1	1	3249	36	1	1
393	31	0	2	2	1	1	1957	6	5	1
394	31	1	3	2	1	0	2406	9	4	1
395	32	1	2	1	2	2	11760	39	3	1
396	55	0	3	0	1	1	2578	12	4	1
397	46	1	2	2	1	1	2348	36	4	1
398	46	1	2	1	1	2	1223	12	1	0
399	43	0	1	2	4	0	1516	24	5	1
400	39	1	2	2	1	0	1473	18	5	1
401	28	1	2	2	0	2	1887	18	0	1
402	27	1	2	2	1	0	8648	24	0	0
403	27	1	1	2	1	0	802	14	1	1
404	43	1	2	2	0	2	2899	18	1	1
405	22	1	2	2	1	2	2039	24	5	0
406	43	1	2	2	0	0	2197	24	1	1
407	27	1	2	2	1	1	1053	15	5	1
408	26	1	3	2	3	0	3235	24	5	1
409	28	1	2	2	3	4	939	12	1	0
410	20	0	2	2	1	2	1967	24	5	1
411	35	1	3	2	1	0	7253	33	1	1
412	42	1	3	2	1	0	2292	12	0	0
413	40	1	1	1	3	0	1597	10	1	1
414	35	0	2	2	0	1	1381	24	1	0
415	35	1	2	2	1	0	5842	36	1	1
416	33	1	1	2	1	1	2579	12	1	0
417	23	0	2	1	0	1	8471	18	3	1
418	31	0	3	2	3	0	2782	21	1	1
419	33	0	2	2	0	2	1042	18	1	0
420	20	0	2	1	4	0	3186	15	1	1
421	30	1	2	2	0	2	2028	12	1	1
422	47	1	1	2	1	2	958	12	1	1
423	34	1	3	2	2	0	1591	21	4	1
424	25	0	2	2	0	2	2762	12	4	0
425	21	1	2	1	1	2	2779	18	1	1
426	29	1	2	2	1	0	2743	28	5	1
427	46	1	2	2	4	0	1149	18	5	1
428	20	1	2	2	1	0	1313	9	4	1
429	55	0	0	0	1	1	1190	18	6	0
430	74	1	1	2	1	0	3448	5	0	1
431	29	1	3	2	1	2	11328	24	7	0
432	36	1	3	0	1	1	1872	6	4	1
433	33	1	2	2	1	0	2058	24	6	1
434	25	1	2	2	1	1	2136	9	4	1
435	25	1	2	2	0	2	1484	12	5	0
436	23	1	1	1	3	0	660	6	6	1
437	37	0	2	2	4	0	1287	24	1	1
438	65	1	0	2	1	1	3394	42	6	1
439	26	0	0	2	1	4	609	12	0	0
440	39	1	3	2	1	0	1884	12	1	1
441	30	0	2	2	1	1	1620	12	4	1
442	29	1	2	2	1	2	2629	20	7	1
443	41	1	1	2	1	0	719	12	3	0
444	30	0	3	2	1	2	5096	48	4	0
445	41	0	1	1	0	0	1244	9	3	1
446	34	0	2	2	1	1	1842	36	1	0
447	35	1	2	2	1	2	2576	7	5	1
448	55	0	3	2	0	4	1424	12	4	1
449	61	1	2	2	4	2	1512	15	6	0
450	30	1	3	2	0	0	11054	36	1	1
451	29	0	2	2	1	0	518	6	5	1
452	34	1	2	2	1	0	2759	12	4	1
453	35	1	3	2	1	0	2670	24	1	1
454	31	1	2	2	1	1	4817	24	1	0
455	29	0	3	2	1	0	2679	24	1	1
456	36	1	2	1	1	1	3905	11	1	1
457	35	1	2	0	1	1	3386	12	1	0
458	27	0	2	2	1	1	343	6	2	1
459	32	1	2	2	1	0	4594	18	5	1
460	37	1	2	2	1	1	3620	36	4	1
461	36	1	2	2	1	1	1721	15	1	1
462	34	0	3	1	1	2	3017	12	4	1
463	38	1	2	2	0	2	754	12	3	1
464	34	1	2	2	1	0	1950	18	0	1
465	63	1	2	2	1	1	2924	24	1	1
466	29	0	1	1	1	1	1659	24	5	0
467	32	1	2	2	0	0	7238	48	5	1
468	26	0	2	2	1	0	2764	33	0	1
469	35	1	1	2	1	0	4679	24	1	1
470	22	1	2	1	2	2	3092	24	5	0
471	23	0	2	2	1	1	448	6	3	0
472	28	1	1	2	1	1	654	9	1	0
473	36	1	3	2	0	0	1238	6	3	1
474	33	1	2	2	1	2	1245	18	5	0
475	26	0	2	1	1	1	3114	18	4	0
476	24	1	2	2	3	0	2569	39	1	1
477	25	1	2	2	1	4	5152	24	5	1
478	39	1	1	2	2	2	1037	12	0	1
479	44	1	2	2	1	1	1478	15	4	1
480	23	0	1	2	1	2	3573	12	5	1
481	26	1	2	2	1	2	1201	24	1	1
482	57	0	2	1	4	1	3622	30	4	1
483	30	0	2	2	4	0	960	15	4	1
484	44	1	2	2	3	0	1163	12	1	1
485	47	1	3	2	1	2	1209	6	1	0
486	52	1	2	2	1	0	3077	12	5	1
487	62	0	2	0	1	0	3757	24	1	1
488	35	1	1	1	2	0	1418	10	1	1
489	26	1	2	1	1	0	3518	6	1	1
490	26	1	2	2	1	0	1934	12	5	1
491	42	0	3	0	1	2	8318	27	0	0
492	27	0	2	2	2	0	1237	6	5	1
493	38	1	2	2	0	2	368	6	5	1
494	39	1	1	1	1	1	2122	12	1	1
495	20	1	2	2	0	1	2996	24	4	0
496	29	1	3	1	2	2	9034	36	4	0
497	40	1	2	2	1	0	1585	24	4	1
498	32	1	1	2	1	2	1301	18	5	1
499	28	1	2	2	2	4	1323	6	1	1
