	Age	Sex	Job	Housing	Saving accounts	Checking account	Credit amount	Duration	Purpose	Risk
500	27	0	2	2	1	1	3123	24	1	0
501	42	1	2	0	1	1	5493	36	1	1
502	49	1	2	2	2	4	1126	9	5	1
503	38	1	2	2	2	2	1216	24	5	0
504	24	0	2	1	1	1	1207	24	1	0
505	27	1	1	2	0	0	1309	10	1	0
506	36	1	2	2	3	4	2360	15	1	1
507	34	1	3	2	2	2	6850	15	1	0
508	28	1	2	2	1	0	1413	24	5	1
509	45	1	3	2	2	0	8588	39	1	1
510	26	1	2	2	1	1	759	12	1	0
511	32	1	3	0	1	0	4686	36	1	1
512	26	1	2	1	1	4	2687	15	0	1
513	20	1	2	1	1	2	585	12	5	1
514	54	1	2	2	0	0	2255	24	1	1
515	37	0	2	2	1	1	609	6	1	1
516	40	1	1	2	1	1	1361	6	1	1
517	23	0	2	1	1	0	7127	36	4	0
518	43	1	2	2	2	1	1203	6	1	1
519	36	1	2	0	0	0	700	6	5	1
520	44	1	2	0	1	0	5507	24	6	1
521	24	0	2	2	1	1	3190	18	5	0
522	53	1	2	0	1	1	7119	48	4	0
523	23	0	2	2	2	0	3488	24	1	1
524	26	0	1	2	1	2	1113	18	5	1
525	30	1	2	2	1	2	7966	26	1	1
526	31	0	2	2	2	0	1532	15	3	1
527	42	1	1	2	1	0	1503	4	5	1
528	31	1	2	1	1	1	2302	36	5	0
529	41	1	1	2	1	1	662	6	1	1
530	32	1	2	2	1	2	2273	36	3	1
531	28	0	2	1	2	2	2631	15	1	0
532	41	1	2	1	1	0	1503	12	1	1
533	26	1	2	2	2	0	1311	24	5	1
534	25	1	2	2	0	0	3105	24	5	1
535	33	1	2	1	1	4	2319	21	3	0
536	75	0	3	2	0	1	1374	6	1	1
537	37	0	2	2	1	2	3612	18	4	1
538	42	1	3	0	1	1	7763	48	1	0
539	45	0	1	2	1	4	3049	18	4	1
540	23	1	2	1	1	2	1534	12	5	0
541	60	1	2	0	1	0	2032	24	1	1
542	31	1	2	2	0	1	6350	30	4	0
543	34	1	1	2	1	4	2864	18	4	0
544	61	1	1	2	1	0	1255	12	1	1
545	43	1	2	0	1	1	1333	24	1	0
546	37	0	2	2	1	0	2022	24	1	1
547	32	1	2	2	1	0	1552	24	5	1
548	24	0	1	2	1	1	626	12	5	0
549	35	1	2	0	0	0	8858	48	1	1
550	23	0	2	2	0	0	996	12	6	1
551	45	1	1	2	3	0	1750	6	5	1
552	34	1	2	2	1	1	6999	48	5	0
553	27	1	2	2	2	2	1995	12	1	1
554	67	0	3	2	1	2	1199	9	3	1
555	22	1	2	2	1	2	1331	12	5	0
556	28	0	2	2	2	2	2278	18	1	0
557	29	0	2	2	0	0	5003	21	1	0
558	27	1	2	2	1	1	3552	24	4	0
559	31	1	1	2	1	2	1928	18	4	0
560	49	1	2	0	0	1	2964	24	1	1
561	24	1	1	1	1	1	1546	24	5	0
562	29	0	2	2	1	4	683	6	5	1
563	37	1	2	0	0	2	12389	36	1	0
564	37	1	3	2	0	2	4712	24	0	1
565	23	0	2	1	2	2	1553	24	5	1
566	36	1	2	2	1	1	1372	12	1	0
567	34	1	2	2	4	0	2578	24	5	1
568	41	1	2	2	0	2	3979	48	5	1
569	31	0	2	2	1	1	6758	48	5	0
570	23	0	1	1	1	1	3234	24	4	0
571	38	1	2	2	1	0	5954	30	5	1
572	26	0	3	1	0	0	5433	24	1	1
573	22	0	1	2	1	1	806	15	0	1
574	27	1	1	2	1	2	1082	9	5	1
575	24	0	2	2	1	0	2788	15	4	1
576	27	0	2	2	1	2	2930	12	5	1
577	33	0	2	2	0	0	1927	24	3	1
578	27	1	2	2	1	2	2820	36	1	0
579	27	1	1	2	1	0	937	24	3	1
580	30	1	2	2	1	2	1056	18	1	0
581	49	1	1	2	1	2	3124	12	1	1
582	26	0	2	1	1	0	1388	9	4	1
583	33	1	1	1	1	2	2384	36	6	0
584	52	0	3	0	0	0	2133	12	1	1
585	20	0	2	1	1	1	2039	18	4	0
586	36	1	2	1	1	1	2799	9	1	1
587	21	1	1	2	1	1	1289	12	4	1
588	47	1	1	2	1	1	1217	18	2	0
589	60	1	2	2	1	1	2246	12	4	0
590	58	0	1	2	1	1	385	12	5	1
591	42	0	2	1	0	2	1965	24	1	1
592	36	0	1	2	4	0	1572	21	0	1
593	20	0	1	1	1	2	2718	24	1	0
594	40	1	3	2	0	1	1358	24	7	0
595	32	0	1	2	2	2	931	6	1	0
596	23	0	2	1	1	1	1442	24	1	0
597	36	1	1	2	1	2	4241	24	0	0
598	31	1	2	2	1	0	2775	18	1	0
599	32	1	2	0	1	0	3863	24	0	1
600	45	0	2	2	1	2	2329	7	5	1
601	30	0	2	2	1	2	918	9	4	0
602	34	0	1	0	1	2	1837	24	3	0
603	28	0	3	2	1	0	3349	36	4	0
604	23	0	2	2	1	4	1275	10	4	1
605	22	1	2	2	3	1	2828	24	4	1
606	74	1	3	2	1	0	4526	24	0	1
607	50	0	2	0	2	2	2671	36	5	0
608	33	1	2	2	1	0	2051	18	5	1
609	45	1	2	0	0	0	1300	15	1	1
610	22	0	2	2	2	1	741	12	2	0
611	48	0	1	0	2	4	1240	10	1	0
612	29	0	2	2	4	1	3357	21	5	1
613	22	0	2	1	1	1	3632	24	1	1
614	22	0	2	2	1	0	1808	18	4	0
615	48	1	3	2	0	2	12204	48	0	1
616	27	1	3	0	0	2	9157	60	5	1
617	37	1	2	1	1	1	3676	6	1	1
618	21	0	2	1	2	2	3441	30	4	0
619	49	1	1	2	1	0	640	12	1	1
620	27	1	2	2	1	2	3652	21	0	1
621	32	1	2	2	1	0	1530	18	1	0
622	38	1	2	2	0	0	3914	48	0	0
623	22	0	2	1	1	1	1858	12	4	1
624	65	1	2	0	1	1	2600	18	5	0
625	35	1	2	2	0	0	1979	15	5	1
626	41	1	2	2	1	4	2116	6	4	1
627	29	1	2	2	2	2	1437	9	1	0
628	36	1	2	2	3	0	4042	42	4	1
629	64	1	1	2	0	0	3832	9	3	1
630	28	0	2	2	1	1	3660	24	5	1
631	44	1	2	2	1	1	1553	18	4	0
632	23	1	2	2	0	2	1444	15	5	1
633	19	0	2	1	1	0	1980	9	4	0
634	25	0	1	2	1	2	1355	24	1	0
635	47	1	2	2	1	0	1393	12	3	1
636	28	0	2	2	3	0	1376	24	5	1
637	21	1	2	2	1	0	15653	60	5	1
638	34	0	2	2	1	0	1493	12	5	1
639	26	1	2	2	1	1	4370	42	5	0
640	27	0	0	2	1	1	750	18	3	0
641	38	1	1	2	1	2	1308	15	6	1
642	40	1	3	2	2	0	4623	15	3	0
643	33	1	2	2	1	0	1851	24	5	1
644	32	1	3	2	1	1	1880	18	5	1
645	27	1	2	1	0	0	7980	36	0	0
646	32	1	2	2	1	1	4583	30	4	1
647	26	0	2	2	3	0	1386	12	1	0
648	38	1	2	0	1	4	947	24	1	0
649	40	1	1	1	1	1	684	12	3	0
650	50	1	3	0	1	1	7476	48	3	1
651	37	1	1	2	1	2	1922	12	4	0
652	45	1	2	2	1	1	2303	24	1	0
653	42	1	3	2	2	2	8086	36	1	0
654	35	1	2	2	1	0	2346	24	1	1
655	22	1	2	0	1	1	3973	14	1	1
656	41	1	1	2	1	2	888	12	1	0
657	37	1	2	2	0	0	10222	48	5	1
658	28	0	2	2	1	2	4221	30	0	1
659	41	1	2	2	1	2	6361	18	4	1
660	23	1	2	1	1	4	1297	12	5	1
661	23	1	2	2	0	1	900	12	1	0
662	50	1	2	2	1	0	2241	21	4	1
663	35	1	3	2	1	2	1050	6	4	1
664	50	0	1	2	1	4	1047	6	3	1
665	27	1	3	2	1	0	6314	24	7	1
666	34	1	2	2	4	2	3496	30	4	1
667	27	0	2	2	1	0	3609	48	0	1
668	43	1	2	1	1	1	4843	12	1	0
669	47	1	2	2	1	4	3017	30	5	1
670	27	1	1	2	2	0	4139	24	0	1
671	31	1	2	2	2	0	5742	36	0	1
672	42	1	3	2	1	0	10366	60	1	1
673	24	1	2	2	3	0	2080	6	1	1
674	41	1	1	2	3	0	2580	21	0	0
675	26	0	3	1	1	0	4530	30	5	1
676	33	1	2	2	1	0	5150	24	4	1
677	24	1	2	2	2	2	5595	72	5	0
678	64	1	1	1	1	1	2384	24	5	1
679	26	0	2	2	1	0	1453	18	5	1
680	56	0	2	2	1	0	1538	6	3	1
681	37	1	2	0	0	0	2279	12	5	1
682	33	1	2	2	1	0	1478	15	5	1
683	47	1	2	0	1	0	5103	24	5	1
684	31	1	1	2	2	2	9857	36	0	1
685	34	1	2	0	0	0	6527	60	1	1
686	27	1	2	2	0	4	1347	10	5	1
687	30	1	2	0	2	2	2862	36	1	1
688	35	1	2	2	2	0	2753	9	5	1
689	31	1	2	2	4	1	3651	12	1	1
690	25	1	2	2	1	1	975	15	4	1
691	25	0	1	2	2	2	2631	15	6	1
692	29	1	2	2	2	2	2896	24	5	1
693	44	1	1	2	0	1	4716	6	1	1
694	28	1	2	2	1	0	2284	24	5	1
695	50	1	2	1	3	0	1236	6	1	1
696	29	1	2	2	1	2	1103	12	5	1
697	38	0	0	2	1	0	926	12	1	1
698	24	1	2	2	1	0	1800	18	5	1
699	40	1	3	1	1	4	1905	15	3	1
700	29	0	1	1	3	0	1123	12	4	0
701	46	1	2	0	1	1	6331	48	1	0
702	47	0	2	0	2	4	1377	24	5	1
703	41	1	2	2	2	2	2503	30	0	1
704	32	0	2	2	1	2	2528	27	0	1
705	35	0	2	0	3	0	5324	15	1	1
706	24	1	2	2	2	2	6560	48	1	0
707	25	0	2	1	1	2	2969	12	4	0
708	25	0	2	2	1	2	1206	9	5	1
709	37	1	1	2	1	2	2118	9	5	1
710	32	1	3	2	3	0	629	18	5	1
711	35	0	2	0	1	1	1198	6	3	0
712	46	1	3	2	0	0	2476	21	1	1
713	25	1	1	2	1	1	1138	9	5	1
714	27	1	3	2	1	2	14027	60	1	0
715	63	1	2	2	0	0	7596	30	1	1
716	40	1	2	2	0	0	3077	30	5	1
717	32	1	3	0	1	0	1505	18	5	1
718	31	1	2	2	0	4	3148	24	5	1
719	31	1	2	2	2	2	6148	20	1	1
720	34	1	3	2	1	4	1337	9	5	0
721	24	0	2	1	4	2	433	6	3	0
722	24	0	1	2	1	1	1228	12	1	0
723	66	0	1	2	3	2	790	9	5	1
724	21	0	2	1	1	0	2570	27	1	0
725	41	0	1	2	4	0	250	6	1	1
726	47	1	1	2	3	0	1316	15	5	1
727	25	0	2	1	1	1	1882	18	5	0
728	59	0	2	1	1	2	6416	48	0	0
729	36	1	2	2	4	4	1275	24	0	1
730	33	1	2	2	1	2	6403	24	5	1
731	21	1	1	1	1	1	1987	24	5	0
732	44	0	1	2	1	2	760	8	5	1
733	28	0	2	1	4	0	2603	24	1	1
734	37	0	2	2	1	0	3380	4	1	1
735	29	0	0	2	0	2	3990	36	2	1
736	23	0	3	1	1	2	11560	24	1	0
737	35	1	1	2	2	1	4380	18	1	1
738	45	1	3	2	1	0	6761	6	1	1
739	26	0	1	1	2	2	4280	30	0	0
740	32	1	2	2	2	1	2325	24	1	1
741	23	1	1	2	1	2	1048	10	5	1
742	41	1	2	2	0	0	3160	21	5	1
743	22	1	2	2	3	1	2483	24	4	1
744	30	1	3	2	0	1	14179	39	4	1
745	28	1	1	2	1	1	1797	13	0	1
746	23	0	2	1	1	1	2511	15	1	1
747	37	0	1	2	1	1	1274	12	1	0
748	26	1	2	2	0	0	5248	21	1	1
749	33	1	2	2	1	0	3029	15	1	1
750	49	0	2	2	1	1	428	6	4	1
751	23	0	1	2	1	1	976	18	1	0
752	23	0	1	1	2	2	841	12	0	1
753	25	0	2	2	1	0	5771	30	5	1
754	55	1	2	0	4	0	1555	12	6	0
755	32	0	2	1	0	1	1285	24	1	0
756	74	1	0	2	1	4	1299	6	1	1
757	39	1	2	0	0	4	1271	15	5	0
758	31	1	2	2	1	0	1393	24	1	1
759	35	1	2	2	1	1	691	12	1	0
760	59	0	2	2	0	0	5045	15	1	1
761	24	0	2	1	1	1	2124	18	4	0
762	24	1	1	2	1	1	2214	12	5	1
763	30	1	3	0	0	0	12680	21	1	0
764	27	1	2	2	2	0	2463	24	1	1
765	40	1	1	2	1	2	1155	12	5	1
766	31	1	1	2	1	1	3108	30	4	0
767	31	0	2	1	0	0	2901	10	1	1
768	28	1	2	1	1	2	3617	12	4	1
769	63	1	1	2	1	0	1655	12	5	1
770	26	0	2	1	0	1	2812	24	1	1
771	25	0	3	2	1	1	8065	36	3	0
772	36	1	3	2	1	0	3275	21	1	1
773	52	1	2	2	2	0	2223	24	5	1
774	66	1	0	0	3	4	1480	12	1	1
775	25	0	2	1	0	1	1371	24	1	0
776	37	1	2	2	1	0	3535	36	1	1
777	25	0	2	2	1	1	3509	18	5	1
778	38	1	3	2	4	0	5711	36	1	1
779	67	0	2	2	1	2	3872	18	6	1
780	25	1	2	2	1	2	4933	39	5	0
781	60	1	2	2	4	0	1940	24	1	1
782	31	1	1	2	1	2	1410	12	3	1
783	23	0	1	2	2	2	836	12	1	0
784	60	1	3	2	0	2	6468	20	1	1
785	35	1	1	2	4	2	1941	18	0	1
786	40	1	2	2	3	0	2675	22	5	1
787	38	1	2	2	0	0	2751	48	1	1
788	50	1	2	0	1	2	6224	48	3	0
789	27	1	2	2	1	1	5998	40	3	0
790	39	0	2	2	1	2	1188	21	0	0
791	41	1	3	2	0	0	6313	24	1	1
792	27	1	2	2	0	0	1221	6	4	1
793	51	1	2	0	1	4	2892	24	4	1
794	32	1	2	1	3	0	3062	24	4	1
795	22	0	2	1	2	0	2301	9	4	1
796	51	1	2	0	0	1	7511	18	1	0
797	22	0	1	1	1	0	1258	12	4	1
798	54	1	2	2	0	0	717	24	1	1
799	35	1	0	2	0	2	1549	9	1	1
800	54	1	2	0	1	0	1597	24	3	1
801	48	0	1	1	1	2	1795	18	5	1
802	24	0	2	2	1	1	4272	20	4	1
803	35	1	2	2	0	0	976	12	5	1
804	24	0	0	1	0	2	7472	12	1	1
805	24	1	2	2	1	1	9271	36	1	0
806	26	1	1	2	1	2	590	6	5	1
807	65	1	2	2	0	0	930	12	5	1
808	55	1	3	0	1	2	9283	42	1	1
809	26	0	0	1	1	2	1778	15	1	0
810	26	1	2	2	1	2	907	8	0	1
811	28	1	1	2	1	2	484	6	5	1
812	24	1	2	2	1	1	9629	36	1	0
813	54	1	2	2	1	1	3051	48	2	0
814	46	1	2	0	1	1	3931	48	1	0
815	54	0	2	1	1	2	7432	36	1	1
816	62	1	2	2	3	0	1338	6	2	1
817	24	0	2	1	1	0	1554	6	5	1
818	43	1	3	2	1	1	15857	36	7	1
819	26	1	2	2	1	1	1345	18	5	0
820	27	1	2	2	1	0	1101	12	1	1
821	24	1	2	2	1	4	3016	12	5	1
822	41	1	2	2	1	1	2712	36	4	0
823	47	1	1	2	1	1	731	8	1	1
824	35	1	3	2	1	0	3780	18	4	1
825	30	1	2	2	1	1	1602	21	1	1
826	33	0	2	1	1	1	3966	18	1	0
827	36	1	2	2	1	0	4165	18	0	0
828	47	1	2	0	0	1	8335	36	1	0
829	38	1	2	0	0	2	6681	48	0	1
830	44	1	2	2	3	0	2375	24	0	1
831	23	0	2	1	1	1	1216	18	1	0
832	29	1	2	1	1	1	11816	45	0	0
833	42	0	2	2	0	2	5084	24	5	1
834	25	0	1	2	1	4	2327	15	5	0
835	48	1	2	2	1	1	1082	12	1	0
836	21	0	2	2	0	0	886	12	5	1
837	23	0	1	1	1	0	601	4	4	1
838	63	1	2	2	1	1	2957	24	1	1
839	46	1	2	2	1	0	2611	24	5	1
840	29	1	2	2	1	1	5179	36	4	0
841	28	1	1	2	1	0	2993	21	1	1
842	23	0	2	2	1	0	1943	18	6	0
843	50	1	2	2	1	0	1559	24	0	1
844	47	1	2	2	1	0	3422	18	4	1
845	35	1	2	2	0	2	3976	21	4	1
846	68	1	2	1	0	0	6761	18	1	0
847	28	1	2	2	1	0	1249	24	1	1
848	59	1	2	2	1	1	1364	9	5	1
849	57	1	1	2	1	1	709	12	5	0
850	33	1	2	1	1	1	2235	20	1	0
851	43	1	2	2	0	0	4042	24	1	1
852	35	1	2	0	1	0	1471	15	5	1
853	32	1	1	0	1	1	1442	18	1	0
854	45	1	2	2	1	0	10875	36	1	1
855	33	1	2	2	2	0	1474	24	1	1
856	40	0	2	2	0	0	894	10	3	1
857	28	1	2	0	1	0	3343	15	4	1
858	29	0	2	2	1	1	3959	15	1	0
859	26	1	2	1	2	0	3577	9	1	1
860	27	1	2	2	4	0	5804	24	1	1
861	28	1	2	2	1	0	2169	18	0	0
862	35	0	2	2	1	1	2439	24	5	0
863	32	1	1	2	4	0	4526	27	4	1
864	25	1	1	1	1	0	2210	10	4	0
865	20	0	2	1	3	0	2221	15	4	1
866	27	0	2	2	1	1	2389	18	5	1
867	42	1	2	2	1	0	3331	12	4	1
868	37	1	2	2	0	0	7409	36	0	1
869	24	0	2	1	1	1	652	12	4	1
870	40	0	2	2	3	0	7678	36	4	1
871	46	1	2	2	1	4	1343	6	1	1
872	26	1	2	2	2	1	1382	24	0	1
873	24	0	2	2	0	0	874	15	2	1
874	29	1	1	2	1	1	3590	12	4	1
875	40	0	2	2	4	2	1322	11	1	1
876	36	1	3	0	1	1	1940	18	5	1
877	28	1	2	2	1	0	3595	36	5	1
878	27	1	3	0	1	1	1422	9	1	0
879	36	1	2	2	0	0	6742	30	5	1
880	38	1	3	2	1	0	7814	24	1	1
881	48	1	2	0	0	0	9277	24	1	1
882	36	1	2	2	0	2	2181	30	1	1
883	65	0	0	2	1	0	1098	18	5	1
884	43	1	2	2	1	2	4057	24	4	0
885	53	0	2	2	1	1	795	12	3	0
886	34	1	2	2	0	2	2825	24	0	1
887	23	1	2	2	1	2	15672	48	0	0
888	34	1	3	2	1	0	6614	36	1	1
889	40	1	2	1	0	0	7824	28	1	1
890	43	1	3	2	1	1	2442	27	0	1
891	46	1	2	2	1	0	1829	15	5	1
892	38	1	1	2	1	1	2171	12	1	1
893	34	1	2	2	1	2	5800	36	1	1
894	29	1	2	2	0	0	1169	18	5	1
895	31	1	3	2	0	0	8947	36	1	1
896	28	0	3	1	1	1	2606	21	5	1
897	35	0	2	2	4	0	1592	12	4	1
898	33	0	1	1	0	0	2186	15	4	1
899	42	1	2	2	1	1	4153	18	4	0
900	43	1	2	1	1	1	2625	16	1	0
901	44	1	2	2	0	0	3485	20	1	1
902	42	1	2	0	0	0	10477	36	1	1
903	40	1	2	1	0	0	1386	15	5	1
904	36	1	3	2	1	0	1278	24	5	1
905	20	1	3	1	1	1	1107	12	5	1
906	24	1	1	2	0	1	3763	21	1	1
907	27	1	2	2	0	2	3711	36	3	1
908	46	0	1	2	1	0	3594	15	1	1
909	33	0	1	2	0	2	3195	9	1	1
910	34	0	2	2	1	0	4454	36	5	1
911	25	0	1	2	1	2	4736	24	4	0
912	25	0	2	2	0	2	2991	30	5	1
913	28	1	2	2	4	0	2142	11	0	1
914	31	1	2	1	1	1	3161	24	0	0
915	32	0	3	2	1	2	18424	48	7	0
916	32	1	2	2	2	0	2848	10	1	1
917	68	1	3	2	1	1	14896	6	1	0
918	33	1	2	2	2	1	2359	24	4	0
919	39	1	3	1	1	1	3345	24	4	0
920	28	0	2	2	1	0	1817	18	4	1
921	37	1	3	2	3	0	12749	48	5	1
922	22	0	2	1	1	1	1366	9	5	0
923	30	1	2	1	1	2	2002	12	1	1
924	55	1	2	2	1	1	6872	24	4	0
925	46	1	2	2	1	1	697	12	1	0
926	21	0	2	1	1	1	1049	18	4	1
927	39	1	2	0	1	1	10297	48	1	0
928	58	1	2	2	0	0	1867	30	5	1
929	43	1	1	2	1	1	1344	12	1	1
930	24	1	1	2	1	1	1747	24	4	1
931	22	0	2	2	1	2	1670	9	5	0
932	30	1	2	2	1	0	1224	9	1	1
933	42	1	2	2	3	0	522	12	5	1
934	23	0	2	2	1	1	1498	12	5	1
935	30	1	3	2	2	2	1919	30	5	0
936	28	0	1	2	1	4	745	9	5	0
937	30	1	3	1	1	2	2063	6	5	1
938	42	1	2	0	1	2	6288	60	3	0
939	46	1	3	2	0	0	6842	24	1	1
940	45	1	3	2	0	0	3527	12	1	1
941	31	1	1	2	1	0	1546	10	1	1
942	31	1	2	2	0	0	929	24	4	1
943	42	1	1	2	1	0	1455	4	1	1
944	46	0	2	1	1	1	1845	15	4	1
945	30	0	2	2	3	2	8358	48	1	1
946	30	1	2	0	3	1	3349	24	4	0
947	38	1	3	2	0	0	2859	12	1	1
948	43	1	1	2	1	0	1533	18	4	0
949	31	1	2	2	2	0	3621	24	5	0
950	40	1	0	2	1	2	3590	18	0	1
951	24	1	2	2	1	1	2145	36	0	0
952	28	0	2	1	3	2	4113	24	1	0
953	26	0	3	2	1	0	10974	36	4	0
954	29	0	2	2	1	1	1893	12	1	1
955	57	0	3	1	4	1	1231	24	5	1
956	49	1	1	2	0	4	3656	30	5	1
957	37	1	1	2	1	2	1154	9	5	1
958	45	1	1	2	1	1	4006	28	1	0
959	30	1	2	0	2	2	3069	24	4	1
960	30	1	2	1	1	0	1740	6	5	1
961	47	1	2	2	1	2	2353	21	1	1
962	29	1	2	2	0	0	3556	15	1	1
963	35	1	2	2	3	0	2397	24	5	0
964	22	1	1	2	1	2	454	6	6	1
965	26	0	2	2	0	2	1715	30	5	1
966	23	1	1	2	3	2	2520	27	5	0
967	54	0	3	1	1	0	3568	15	5	1
968	29	1	2	1	0	0	7166	42	5	1
969	40	1	1	2	1	1	3939	11	1	1
970	22	1	2	2	2	2	1514	15	6	1
971	43	1	1	2	1	0	7393	24	1	1
972	29	0	0	1	1	1	1193	24	1	0
973	36	1	2	1	1	1	7297	60	0	0
974	33	0	2	2	1	0	2831	30	5	1
975	57	0	1	2	3	4	1258	24	5	1
976	64	0	2	2	1	2	753	6	5	1
977	42	1	2	2	0	2	2427	18	0	1
978	47	1	1	2	1	0	2538	24	1	0
979	25	1	2	1	2	2	1264	15	1	0
980	49	1	2	2	1	2	8386	30	4	0
981	33	1	3	1	1	0	4844	48	0	0
982	28	0	3	2	2	4	2923	21	1	1
983	26	1	2	2	1	1	8229	36	1	0
984	30	1	1	2	1	0	2028	24	4	1
985	25	0	2	1	1	1	1433	15	4	1
986	33	1	2	2	1	4	6289	42	0	1
987	64	0	2	2	2	0	1409	13	5	1
988	29	1	3	0	1	1	6579	24	1	1
989	48	1	1	2	1	2	1743	24	5	1
990	37	1	1	2	0	0	3565	12	3	1
991	34	1	1	2	2	0	1569	15	5	1
992	23	1	1	1	0	1	1936	18	5	1
993	30	1	3	2	1	1	3959	36	4	1
994	50	1	2	2	0	0	2390	12	1	1
995	31	0	1	2	1	0	1736	12	4	1
996	40	1	3	2	1	1	3857	30	1	1
997	38	1	2	2	1	0	804	12	5	1
998	23	1	2	0	1	1	1845	45	5	0
999	27	1	2	2	2	2	4576	45	1	1
